nftId,Card Id,Name,Bitcoin Text,Sticker,Fortune,Power,Rarity
1,30,Gideon Ravensdale,Bitcoin: flame of freedom!,Coin,10B in Bitcoin,3,Rare
2,20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange,5B in Bitcoin,1,Common
3,78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket,1B in Bitcoin,5,Super Rare
4,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,1B in Bitcoin,10,Common
5,3,Milo Farnsworth,Bitcoin: your own bank!,Palm,5B in Bitcoin,7,Uncommon
6,6,Leon Vanguard,Bitcoin: global magic!,Orange,5B in Bitcoin,5,Common
7,67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi,5B in Bitcoin,10,Uncommon
8,18,Cedric Langley,Bitcoin: invisible spell!,Sushi,1B in Bitcoin,1,Ultra Rare
9,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,1B in Bitcoin,1,Common
10,94,Mortimer Montrose,Bitcoin: global show!,Palm,10B in Bitcoin,5,Uncommon
11,48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange,2B in Bitcoin,4,Uncommon
12,89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc,1B in Bitcoin,10,Uncommon
13,73,Rupert Sterling,Bitcoin: creative explosion!,Palm,5B in Bitcoin,9,Common
14,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,1B in Bitcoin,1,Common
15,24,Desmond Whitmore,Bitcoin: decentralized future!,Palm,1B in Bitcoin,9,Common
16,44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin,5B in Bitcoin,7,Common
17,41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange,5B in Bitcoin,5,Rare
18,51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin,5B in Bitcoin,2,Common
19,70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer,10B in Bitcoin,1,Common
20,38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm,5B in Bitcoin,5,Common
21,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,2B in Bitcoin,7,Common
22,70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer,5B in Bitcoin,10,Super Rare
23,104,Reginald Kingsley,Bitcoin: escape wizards!,Orange,2B in Bitcoin,10,Super Rare
24,28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer,10B in Bitcoin,5,Common
25,84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer,5B in Bitcoin,3,Common
26,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,1B in Bitcoin,10,Super Rare
27,105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer,1B in Bitcoin,1,Uncommon
28,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,2,Super Rare
29,63,Barnabas Ravensdale,Bitcoin: hero of your story!,Flying Saucer,1B in Bitcoin,9,Super Rare
30,97,Leopold Fairfax,Bitcoin: tech is magic!,Orange,5B in Bitcoin,8,Super Rare
31,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,8,Rare
32,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,1B in Bitcoin,10,Ultra Rare
33,18,Cedric Langley,Bitcoin: invisible spell!,Sushi,50B in Bitcoin,6,Uncommon
34,16,Duncan Beckett,Bitcoin: golden bridge!,Coin,5B in Bitcoin,10,Uncommon
35,22,Roderick Montague,Bitcoin: escape slavery!,Rocket,5B in Bitcoin,7,Common
36,94,Mortimer Montrose,Bitcoin: global show!,Palm,1B in Bitcoin,1,Ultra Rare
37,14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer,1B in Bitcoin,1,Uncommon
38,15,Hugo Sterling,Bitcoin lights the way!,Rocket,1B in Bitcoin,7,Uncommon
39,13,Nathan Ellington,Bitcoin: tech hero!,Orange,2B in Bitcoin,10,Common
40,87,Alistair Sterling,Bitcoin: no tricks!,Palm,2B in Bitcoin,3,Rare
41,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,1B in Bitcoin,6,Uncommon
42,95,Thaddeus Thornfield,Bitcoin: every trade is an adventure!,Sushi,5B in Bitcoin,7,Common
43,84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer,10B in Bitcoin,6,Uncommon
44,66,Reginald Montrose,Bitcoin: future surprises!,Palm,1B in Bitcoin,7,Common
45,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,5B in Bitcoin,10,Common
46,89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc,10B in Bitcoin,3,Uncommon
47,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,1B in Bitcoin,4,Uncommon
48,52,Clarence Montrose,Bitcoin: silent revolution!,Palm,50B in Bitcoin,3,Common
49,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,1B in Bitcoin,3,Common
50,48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange,10B in Bitcoin,7,Super Rare
51,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,5B in Bitcoin,9,Rare
52,8,Ethan Caldwell,Bitcoin is digital gold!,Rocket,1B in Bitcoin,7,Super Rare
53,46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi,1B in Bitcoin,5,Common
54,99,Ignatius Westbrook,Bitcoin: no illusions!,Rocket,1B in Bitcoin,10,Ultra Rare
55,62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange,2B in Bitcoin,6,Common
56,21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer,10B in Bitcoin,8,Uncommon
57,100,Horatio Montclair,Bitcoin: master destiny!,Coin,1B in Bitcoin,1,Uncommon
58,100,Horatio Montclair,Bitcoin: master destiny!,Coin,5B in Bitcoin,6,Common
59,64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket,1B in Bitcoin,10,Common
60,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,5B in Bitcoin,6,Common
61,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,4,Common
62,87,Alistair Sterling,Bitcoin: no tricks!,Palm,5B in Bitcoin,4,Rare
63,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,1B in Bitcoin,4,Uncommon
64,105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer,1B in Bitcoin,6,Uncommon
65,107,Gideon Ellsworth,Bitcoin: global bridge!,Coin,1B in Bitcoin,1,Uncommon
66,65,Humphrey Ellsworth,Bitcoin: fly with money!,Coin,5B in Bitcoin,4,Rare
67,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,1B in Bitcoin,5,Uncommon
68,72,Phineas Montclair,Bitcoin: fair magic!,Coin,5B in Bitcoin,4,Uncommon
69,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,2B in Bitcoin,6,Uncommon
70,13,Nathan Ellington,Bitcoin: tech hero!,Orange,1B in Bitcoin,2,Legendary
71,46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi,1B in Bitcoin,7,Rare
72,72,Phineas Montclair,Bitcoin: fair magic!,Coin,5B in Bitcoin,8,Super Rare
73,89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc,10B in Bitcoin,8,Common
74,42,Ignatius Langley,Bitcoin: sip independence!,Flying Saucer,1B in Bitcoin,4,Ultra Rare
75,76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange,1B in Bitcoin,6,Super Rare
76,40,Leopold Ravenscroft,Bitcoin: new generation!,Hibisc,5B in Bitcoin,9,Uncommon
77,24,Desmond Whitmore,Bitcoin: decentralized future!,Palm,5B in Bitcoin,8,Common
78,25,Archibald Winslow,Bitcoin: no old tricks!,Sushi,1B in Bitcoin,9,Uncommon
79,48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange,1B in Bitcoin,4,Rare
80,3,Milo Farnsworth,Bitcoin: your own bank!,Palm,1B in Bitcoin,6,Rare
81,98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer,50B in Bitcoin,10,Common
82,50,Gideon Fairchild,Bitcoin: free from giants!,Rocket,1B in Bitcoin,5,Common
83,16,Duncan Beckett,Bitcoin: golden bridge!,Coin,100B in Bitcoin,10,Super Rare
84,75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc,1B in Bitcoin,4,Rare
85,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,5B in Bitcoin,6,Super Rare
86,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,5B in Bitcoin,7,Super Rare
87,58,Cornelius Montclair,Bitcoin: master your fate!,Coin,5B in Bitcoin,8,Common
88,66,Reginald Montrose,Bitcoin: future surprises!,Palm,50B in Bitcoin,6,Super Rare
89,111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange,2B in Bitcoin,3,Uncommon
90,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,5B in Bitcoin,6,Uncommon
91,23,Tobias Sinclair,Bitcoin: magical money!,Coin,1B in Bitcoin,5,Common
92,56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer,10B in Bitcoin,10,Common
93,73,Rupert Sterling,Bitcoin: creative explosion!,Palm,5B in Bitcoin,7,Common
94,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,10B in Bitcoin,6,Rare
95,20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange,10B in Bitcoin,8,Uncommon
96,31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm,1B in Bitcoin,4,Uncommon
97,55,Archibald Fairfax,Bitcoin: magic in tech!,Orange,1B in Bitcoin,6,Uncommon
98,73,Rupert Sterling,Bitcoin: creative explosion!,Palm,10B in Bitcoin,1,Common
99,98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer,1B in Bitcoin,2,Common
100,79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin,1B in Bitcoin,5,Super Rare
101,64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket,1B in Bitcoin,7,Common
102,31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm,1B in Bitcoin,9,Super Rare
103,32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi,5B in Bitcoin,4,Uncommon
104,27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange,10B in Bitcoin,4,Common
105,35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer,1B in Bitcoin,9,Common
106,75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc,1B in Bitcoin,2,Uncommon
107,10,Simon Redwood,Bitcoin: freedom now!,Palm,1B in Bitcoin,3,Rare
108,63,Barnabas Ravensdale,Bitcoin: hero of your story!,Flying Saucer,10B in Bitcoin,3,Uncommon
109,16,Duncan Beckett,Bitcoin: golden bridge!,Coin,1B in Bitcoin,3,Common
110,76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange,5B in Bitcoin,1,Rare
111,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,5B in Bitcoin,4,Rare
112,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,1B in Bitcoin,8,Uncommon
113,84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer,5B in Bitcoin,3,Uncommon
114,6,Leon Vanguard,Bitcoin: global magic!,Orange,1B in Bitcoin,2,Super Rare
115,6,Leon Vanguard,Bitcoin: global magic!,Orange,1B in Bitcoin,4,Common
116,91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer,1B in Bitcoin,9,Uncommon
117,23,Tobias Sinclair,Bitcoin: magical money!,Coin,2B in Bitcoin,3,Common
118,6,Leon Vanguard,Bitcoin: global magic!,Orange,1B in Bitcoin,7,Common
119,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,2B in Bitcoin,5,Common
120,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,1B in Bitcoin,7,Uncommon
121,10,Simon Redwood,Bitcoin: freedom now!,Palm,1B in Bitcoin,7,Common
122,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,1B in Bitcoin,2,Uncommon
123,92,Rupert Fairchild,Bitcoin: wings of freedom!,Rocket,5B in Bitcoin,9,Common
124,60,Sylvester Beckett,Bitcoin: fair and fun!,Sushi,5B in Bitcoin,7,Uncommon
125,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,5B in Bitcoin,8,Rare
126,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,1,Common
127,37,Mortimer Kingsley,Bitcoin: just getting started!,Coin,5B in Bitcoin,5,Uncommon
128,60,Sylvester Beckett,Bitcoin: fair and fun!,Sushi,10B in Bitcoin,1,Uncommon
129,34,Clarence Thornfield,Bitcoin: fair digital world!,Orange,5B in Bitcoin,8,Common
130,45,Wilfred Sterling,Bitcoin: golden key!,Palm,1B in Bitcoin,2,Common
131,61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc,10B in Bitcoin,8,Uncommon
132,7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer,1B in Bitcoin,9,Uncommon
133,87,Alistair Sterling,Bitcoin: no tricks!,Palm,10B in Bitcoin,5,Common
134,39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi,1B in Bitcoin,10,Rare
135,50,Gideon Fairchild,Bitcoin: free from giants!,Rocket,1B in Bitcoin,5,Common
136,41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange,5B in Bitcoin,3,Uncommon
137,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,5B in Bitcoin,1,Common
138,83,Wilfred Fairfax,Bitcoin: no censorship!,Orange,1B in Bitcoin,7,Common
139,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,5B in Bitcoin,3,Common
140,31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm,10B in Bitcoin,9,Common
141,11,Victor Ashford,Bitcoin unlocks treasure!,Sushi,1B in Bitcoin,9,Uncommon
142,45,Wilfred Sterling,Bitcoin: golden key!,Palm,2B in Bitcoin,3,Uncommon
143,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,5B in Bitcoin,1,Uncommon
144,102,Wilfred Beckett,Bitcoin: fair magic!,Sushi,10B in Bitcoin,3,Rare
145,13,Nathan Ellington,Bitcoin: tech hero!,Orange,10B in Bitcoin,5,Common
146,79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin,2B in Bitcoin,10,Uncommon
147,76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange,10B in Bitcoin,1,Common
148,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,10B in Bitcoin,3,Super Rare
149,17,Marcus Fairfax,Bitcoin: magic answer!,Palm,5B in Bitcoin,8,Uncommon
150,62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange,2B in Bitcoin,7,Rare
151,91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer,5B in Bitcoin,3,Common
152,38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm,10B in Bitcoin,3,Uncommon
153,102,Wilfred Beckett,Bitcoin: fair magic!,Sushi,10B in Bitcoin,10,Uncommon
154,46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi,5B in Bitcoin,9,Common
155,23,Tobias Sinclair,Bitcoin: magical money!,Coin,1B in Bitcoin,3,Super Rare
156,43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket,5B in Bitcoin,4,Rare
157,23,Tobias Sinclair,Bitcoin: magical money!,Coin,2B in Bitcoin,1,Common
158,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,1B in Bitcoin,1,Rare
159,33,Phineas Montrose,Bitcoin: power to the people!,Hibisc,10B in Bitcoin,4,Uncommon
160,35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer,1B in Bitcoin,10,Ultra Rare
161,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,1B in Bitcoin,5,Rare
162,71,Clarence Westbrook,Bitcoin: invisible spell!,Rocket,50B in Bitcoin,2,Common
163,25,Archibald Winslow,Bitcoin: no old tricks!,Sushi,1B in Bitcoin,3,Common
164,65,Humphrey Ellsworth,Bitcoin: fly with money!,Coin,1B in Bitcoin,2,Common
165,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,2B in Bitcoin,5,Common
166,75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc,1B in Bitcoin,1,Common
167,50,Gideon Fairchild,Bitcoin: free from giants!,Rocket,2B in Bitcoin,9,Common
168,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,10B in Bitcoin,1,Rare
169,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,50B in Bitcoin,10,Rare
170,42,Ignatius Langley,Bitcoin: sip independence!,Flying Saucer,5B in Bitcoin,5,Uncommon
171,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,1B in Bitcoin,7,Uncommon
172,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,5B in Bitcoin,2,Ultra Rare
173,37,Mortimer Kingsley,Bitcoin: just getting started!,Coin,1B in Bitcoin,4,Common
174,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,2B in Bitcoin,6,Super Rare
175,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,1B in Bitcoin,5,Uncommon
176,72,Phineas Montclair,Bitcoin: fair magic!,Coin,1B in Bitcoin,6,Rare
177,103,Humphrey Pembroke,Bitcoin: creative explosion!,Hibisc,1B in Bitcoin,9,Super Rare
178,75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc,10B in Bitcoin,3,Common
179,110,Phineas Ashford,Bitcoin: free from giants!,Hibisc,5B in Bitcoin,8,Common
180,78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket,5B in Bitcoin,7,Common
181,27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange,10B in Bitcoin,4,Uncommon
182,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,1B in Bitcoin,4,Uncommon
183,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,5B in Bitcoin,3,Common
184,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,1B in Bitcoin,7,Rare
185,10,Simon Redwood,Bitcoin: freedom now!,Palm,1B in Bitcoin,7,Uncommon
186,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,9,Uncommon
187,90,Clarence Kingsley,Bitcoin: fair and fun!,Orange,1B in Bitcoin,10,Super Rare
188,25,Archibald Winslow,Bitcoin: no old tricks!,Sushi,2B in Bitcoin,6,Rare
189,76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange,2B in Bitcoin,6,Common
190,12,Wesley Carrington,Bitcoin never sleeps!,Hibisc,1B in Bitcoin,6,Common
191,101,Barnabas Sterling,Bitcoin: invisible spell!,Palm,1B in Bitcoin,8,Super Rare
192,7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer,1B in Bitcoin,4,Common
193,108,Maximilian Montrose,Bitcoin: innovation rules!,Palm,5B in Bitcoin,8,Super Rare
194,104,Reginald Kingsley,Bitcoin: escape wizards!,Orange,10B in Bitcoin,5,Common
195,35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer,1B in Bitcoin,4,Rare
196,49,Alistair Ravensdale,Bitcoin: create your destiny!,Flying Saucer,10B in Bitcoin,7,Common
197,60,Sylvester Beckett,Bitcoin: fair and fun!,Sushi,1B in Bitcoin,10,Rare
198,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,10B in Bitcoin,2,Uncommon
199,2,Bruno Driscoll,Bitcoin: magic money!,Coin,50B in Bitcoin,3,Uncommon
200,85,Reginald Westbrook,Bitcoin: magic tech!,Rocket,2B in Bitcoin,3,Common
201,87,Alistair Sterling,Bitcoin: no tricks!,Palm,1B in Bitcoin,5,Common
202,8,Ethan Caldwell,Bitcoin is digital gold!,Rocket,1B in Bitcoin,1,Uncommon
203,9,Felix Harrington,Bitcoin: click to change!,Coin,5B in Bitcoin,8,Rare
204,91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer,5B in Bitcoin,4,Super Rare
205,55,Archibald Fairfax,Bitcoin: magic in tech!,Orange,1B in Bitcoin,6,Uncommon
206,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,5B in Bitcoin,5,Common
207,52,Clarence Montrose,Bitcoin: silent revolution!,Palm,5B in Bitcoin,6,Common
208,43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket,5B in Bitcoin,9,Rare
209,54,Rupert Ashford II,Bitcoin: future is magic!,Hibisc,5B in Bitcoin,8,Uncommon
210,14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer,5B in Bitcoin,8,Rare
211,54,Rupert Ashford II,Bitcoin: future is magic!,Hibisc,1B in Bitcoin,2,Common
212,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,1B in Bitcoin,7,Common
213,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,10B in Bitcoin,3,Rare
214,12,Wesley Carrington,Bitcoin never sleeps!,Hibisc,1B in Bitcoin,3,Common
215,22,Roderick Montague,Bitcoin: escape slavery!,Rocket,5B in Bitcoin,9,Common
216,108,Maximilian Montrose,Bitcoin: innovation rules!,Palm,5B in Bitcoin,5,Super Rare
217,61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc,1B in Bitcoin,8,Super Rare
218,72,Phineas Montclair,Bitcoin: fair magic!,Coin,1B in Bitcoin,1,Common
219,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,5B in Bitcoin,10,Common
220,44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin,5B in Bitcoin,4,Uncommon
221,98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer,1B in Bitcoin,7,Uncommon
222,58,Cornelius Montclair,Bitcoin: master your fate!,Coin,1B in Bitcoin,2,Common
223,6,Leon Vanguard,Bitcoin: global magic!,Orange,5B in Bitcoin,4,Uncommon
