Card Id,Name,Bitcoin Text,Sticker
75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc
76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange
77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer
78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket
79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin
80,Ignatius Montrose,Bitcoin: free from giants!,Palm
81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi
82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc
83,Wilfred Fairfax,Bitcoin: no censorship!,Orange
84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer
85,Reginald Westbrook,Bitcoin: magic tech!,Rocket
86,Bartholomew Montclair,Bitcoin: beat the system!,Coin
87,Alistair Sterling,Bitcoin: no tricks!,Palm
88,Gideon Beckett,Bitcoin: master your fate!,Sushi
89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc
90,Clarence Kingsley,Bitcoin: fair and fun!,Orange
91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer
92,Rupert Fairchild,Bitcoin: wings of freedom!,Rocket
93,Archibald Ellsworth,Bitcoin: magic money!,Coin
94,Mortimer Montrose,Bitcoin: global show!,Palm
95,Thaddeus Thornfield,Bitcoin: every trade is an adventure!,Sushi
96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc
97,Leopold Fairfax,Bitcoin: tech is magic!,Orange
98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer
99,Ignatius Westbrook,Bitcoin: no illusions!,Rocket
100,Horatio Montclair,Bitcoin: master destiny!,Coin
101,Barnabas Sterling,Bitcoin: invisible spell!,Palm
102,Wilfred Beckett,Bitcoin: fair magic!,Sushi
103,Humphrey Pembroke,Bitcoin: creative explosion!,Hibisc
104,Reginald Kingsley,Bitcoin: escape wizards!,Orange
105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer
106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket
107,Gideon Ellsworth,Bitcoin: global bridge!,Coin
108,Maximilian Montrose,Bitcoin: innovation rules!,Palm
109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi
110,Phineas Ashford,Bitcoin: free from giants!,Hibisc
111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange
1,Lucas Marston,Bitcoin is freedom in code!,Rocket
2,Bruno Driscoll,Bitcoin: magic money!,Coin
3,Milo Farnsworth,Bitcoin: your own bank!,Palm
4,Theo Underwood,Bitcoin breaks all chains!,Sushi
5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc
6,Leon Vanguard,Bitcoin: global magic!,Orange
7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer
8,Ethan Caldwell,Bitcoin is digital gold!,Rocket
9,Felix Harrington,Bitcoin: click to change!,Coin
10,Simon Redwood,Bitcoin: freedom now!,Palm
11,Victor Ashford,Bitcoin unlocks treasure!,Sushi
12,Wesley Carrington,Bitcoin never sleeps!,Hibisc
13,Nathan Ellington,Bitcoin: tech hero!,Orange
14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer
15,Hugo Sterling,Bitcoin lights the way!,Rocket
16,Duncan Beckett,Bitcoin: golden bridge!,Coin
17,Marcus Fairfax,Bitcoin: magic answer!,Palm
18,Cedric Langley,Bitcoin: invisible spell!,Sushi
19,Gregory Westbrook,Bitcoin: fair and magical!,Hibisc
20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange
21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer
22,Roderick Montague,Bitcoin: escape slavery!,Rocket
23,Tobias Sinclair,Bitcoin: magical money!,Coin
24,Desmond Whitmore,Bitcoin: decentralized future!,Palm
25,Archibald Winslow,Bitcoin: no old tricks!,Sushi
26,Percival Hargrove,Bitcoin: change like magic!,Hibisc
27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange
28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer
29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket
30,Gideon Ravensdale,Bitcoin: flame of freedom!,Coin
31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm
32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi
33,Phineas Montrose,Bitcoin: power to the people!,Hibisc
34,Clarence Thornfield,Bitcoin: fair digital world!,Orange
35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer
36,Archibald Pembroke,Bitcoin: control your money!,Rocket
37,Mortimer Kingsley,Bitcoin: just getting started!,Coin
38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm
39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi
40,Leopold Ravenscroft,Bitcoin: new generation!,Hibisc
41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange
42,Ignatius Langley,Bitcoin: sip independence!,Flying Saucer
43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket
44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin
45,Wilfred Sterling,Bitcoin: golden key!,Palm
46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi
47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc
48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange
49,Alistair Ravensdale,Bitcoin: create your destiny!,Flying Saucer
50,Gideon Fairchild,Bitcoin: free from giants!,Rocket
51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin
52,Clarence Montrose,Bitcoin: silent revolution!,Palm
53,Phineas Thornfield,Bitcoin: no censorship!,Sushi
54,Rupert Ashford II,Bitcoin: future is magic!,Hibisc
55,Archibald Fairfax,Bitcoin: magic in tech!,Orange
56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer
57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket
58,Cornelius Montclair,Bitcoin: master your fate!,Coin
59,Leopold Sterling,Bitcoin: invisible magic!,Palm
60,Sylvester Beckett,Bitcoin: fair and fun!,Sushi
61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc
62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange
63,Barnabas Ravensdale,Bitcoin: hero of your story!,Flying Saucer
64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket
65,Humphrey Ellsworth,Bitcoin: fly with money!,Coin
66,Reginald Montrose,Bitcoin: future surprises!,Palm
67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi
68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc
69,Gideon Fairfax,Bitcoin: no illusions!,Orange
70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer
71,Clarence Westbrook,Bitcoin: invisible spell!,Rocket
72,Phineas Montclair,Bitcoin: fair magic!,Coin
73,Rupert Sterling,Bitcoin: creative explosion!,Palm
74,Archibald Beckett,Bitcoin: escape wizards!,Sushi
75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc
76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange
77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer
78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket
79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin
80,Ignatius Montrose,Bitcoin: free from giants!,Palm
81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi
82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc
83,Wilfred Fairfax,Bitcoin: no censorship!,Orange
84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer
85,Reginald Westbrook,Bitcoin: magic tech!,Rocket
86,Bartholomew Montclair,Bitcoin: beat the system!,Coin
87,Alistair Sterling,Bitcoin: no tricks!,Palm
88,Gideon Beckett,Bitcoin: master your fate!,Sushi
89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc
90,Clarence Kingsley,Bitcoin: fair and fun!,Orange
91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer
92,Rupert Fairchild,Bitcoin: wings of freedom!,Rocket
93,Archibald Ellsworth,Bitcoin: magic money!,Coin
94,Mortimer Montrose,Bitcoin: global show!,Palm
95,Thaddeus Thornfield,Bitcoin: every trade is an adventure!,Sushi
96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc
97,Leopold Fairfax,Bitcoin: tech is magic!,Orange
98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer
99,Ignatius Westbrook,Bitcoin: no illusions!,Rocket
100,Horatio Montclair,Bitcoin: master destiny!,Coin
101,Barnabas Sterling,Bitcoin: invisible spell!,Palm
102,Wilfred Beckett,Bitcoin: fair magic!,Sushi
103,Humphrey Pembroke,Bitcoin: creative explosion!,Hibisc
104,Reginald Kingsley,Bitcoin: escape wizards!,Orange
105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer
106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket
107,Gideon Ellsworth,Bitcoin: global bridge!,Coin
108,Maximilian Montrose,Bitcoin: innovation rules!,Palm
109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi
110,Phineas Ashford,Bitcoin: free from giants!,Hibisc
111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange
1,Lucas Marston,Bitcoin is freedom in code!,Rocket
2,Bruno Driscoll,Bitcoin: magic money!,Coin
3,Milo Farnsworth,Bitcoin: your own bank!,Palm
4,Theo Underwood,Bitcoin breaks all chains!,Sushi
5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc
6,Leon Vanguard,Bitcoin: global magic!,Orange
7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer
8,Ethan Caldwell,Bitcoin is digital gold!,Rocket
9,Felix Harrington,Bitcoin: click to change!,Coin
10,Simon Redwood,Bitcoin: freedom now!,Palm
11,Victor Ashford,Bitcoin unlocks treasure!,Sushi
12,Wesley Carrington,Bitcoin never sleeps!,Hibisc
13,Nathan Ellington,Bitcoin: tech hero!,Orange
14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer
15,Hugo Sterling,Bitcoin lights the way!,Rocket
16,Duncan Beckett,Bitcoin: golden bridge!,Coin
17,Marcus Fairfax,Bitcoin: magic answer!,Palm
18,Cedric Langley,Bitcoin: invisible spell!,Sushi
19,Gregory Westbrook,Bitcoin: fair and magical!,Hibisc
20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange
21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer
22,Roderick Montague,Bitcoin: escape slavery!,Rocket
23,Tobias Sinclair,Bitcoin: magical money!,Coin
24,Desmond Whitmore,Bitcoin: decentralized future!,Palm
25,Archibald Winslow,Bitcoin: no old tricks!,Sushi
26,Percival Hargrove,Bitcoin: change like magic!,Hibisc
27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange
28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer
29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket
30,Gideon Ravensdale,Bitcoin: flame of freedom!,Coin
31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm
32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi
33,Phineas Montrose,Bitcoin: power to the people!,Hibisc
34,Clarence Thornfield,Bitcoin: fair digital world!,Orange
35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer
36,Archibald Pembroke,Bitcoin: control your money!,Rocket
37,Mortimer Kingsley,Bitcoin: just getting started!,Coin
38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm
39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi
40,Leopold Ravenscroft,Bitcoin: new generation!,Hibisc
41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange
42,Ignatius Langley,Bitcoin: sip independence!,Flying Saucer
43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket
44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin
45,Wilfred Sterling,Bitcoin: golden key!,Palm
46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi
47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc
48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange
49,Alistair Ravensdale,Bitcoin: create your destiny!,Flying Saucer
50,Gideon Fairchild,Bitcoin: free from giants!,Rocket
51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin
52,Clarence Montrose,Bitcoin: silent revolution!,Palm
53,Phineas Thornfield,Bitcoin: no censorship!,Sushi
54,Rupert Ashford II,Bitcoin: future is magic!,Hibisc
55,Archibald Fairfax,Bitcoin: magic in tech!,Orange
56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer
57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket
58,Cornelius Montclair,Bitcoin: master your fate!,Coin
59,Leopold Sterling,Bitcoin: invisible magic!,Palm
60,Sylvester Beckett,Bitcoin: fair and fun!,Sushi
61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc
62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange
63,Barnabas Ravensdale,Bitcoin: hero of your story!,Flying Saucer
64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket
65,Humphrey Ellsworth,Bitcoin: fly with money!,Coin
66,Reginald Montrose,Bitcoin: future surprises!,Palm
67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi
68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc
69,Gideon Fairfax,Bitcoin: no illusions!,Orange
70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer
71,Clarence Westbrook,Bitcoin: invisible spell!,Rocket
72,Phineas Montclair,Bitcoin: fair magic!,Coin
73,Rupert Sterling,Bitcoin: creative explosion!,Palm
74,Archibald Beckett,Bitcoin: escape wizards!,Sushi
75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc
76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange
77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer
78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket
79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin
80,Ignatius Montrose,Bitcoin: free from giants!,Palm
81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi
82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc
83,Wilfred Fairfax,Bitcoin: no censorship!,Orange
84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer
85,Reginald Westbrook,Bitcoin: magic tech!,Rocket
86,Bartholomew Montclair,Bitcoin: beat the system!,Coin
87,Alistair Sterling,Bitcoin: no tricks!,Palm
88,Gideon Beckett,Bitcoin: master your fate!,Sushi
89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc
90,Clarence Kingsley,Bitcoin: fair and fun!,Orange
91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer
92,Rupert Fairchild,Bitcoin: wings of freedom!,Rocket
93,Archibald Ellsworth,Bitcoin: magic money!,Coin
94,Mortimer Montrose,Bitcoin: global show!,Palm
95,Thaddeus Thornfield,Bitcoin: every trade is an adventure!,Sushi
96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc
97,Leopold Fairfax,Bitcoin: tech is magic!,Orange
98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer
99,Ignatius Westbrook,Bitcoin: no illusions!,Rocket
100,Horatio Montclair,Bitcoin: master destiny!,Coin
101,Barnabas Sterling,Bitcoin: invisible spell!,Palm
102,Wilfred Beckett,Bitcoin: fair magic!,Sushi
103,Humphrey Pembroke,Bitcoin: creative explosion!,Hibisc
104,Reginald Kingsley,Bitcoin: escape wizards!,Orange
105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer
106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket
107,Gideon Ellsworth,Bitcoin: global bridge!,Coin
108,Maximilian Montrose,Bitcoin: innovation rules!,Palm
109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi
110,Phineas Ashford,Bitcoin: free from giants!,Hibisc
111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange
1,Lucas Marston,Bitcoin is freedom in code!,Rocket
2,Bruno Driscoll,Bitcoin: magic money!,Coin
3,Milo Farnsworth,Bitcoin: your own bank!,Palm
4,Theo Underwood,Bitcoin breaks all chains!,Sushi
5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc
6,Leon Vanguard,Bitcoin: global magic!,Orange
7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer
8,Ethan Caldwell,Bitcoin is digital gold!,Rocket
9,Felix Harrington,Bitcoin: click to change!,Coin
10,Simon Redwood,Bitcoin: freedom now!,Palm
11,Victor Ashford,Bitcoin unlocks treasure!,Sushi
12,Wesley Carrington,Bitcoin never sleeps!,Hibisc
13,Nathan Ellington,Bitcoin: tech hero!,Orange
14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer
15,Hugo Sterling,Bitcoin lights the way!,Rocket
16,Duncan Beckett,Bitcoin: golden bridge!,Coin
17,Marcus Fairfax,Bitcoin: magic answer!,Palm
18,Cedric Langley,Bitcoin: invisible spell!,Sushi
19,Gregory Westbrook,Bitcoin: fair and magical!,Hibisc
20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange
21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer
22,Roderick Montague,Bitcoin: escape slavery!,Rocket
23,Tobias Sinclair,Bitcoin: magical money!,Coin
24,Desmond Whitmore,Bitcoin: decentralized future!,Palm
25,Archibald Winslow,Bitcoin: no old tricks!,Sushi
26,Percival Hargrove,Bitcoin: change like magic!,Hibisc
27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange
28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer
29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket
30,Gideon Ravensdale,Bitcoin: flame of freedom!,Coin
31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm
32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi
33,Phineas Montrose,Bitcoin: power to the people!,Hibisc
34,Clarence Thornfield,Bitcoin: fair digital world!,Orange
35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer
36,Archibald Pembroke,Bitcoin: control your money!,Rocket
37,Mortimer Kingsley,Bitcoin: just getting started!,Coin
38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm
39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi
40,Leopold Ravenscroft,Bitcoin: new generation!,Hibisc
41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange
42,Ignatius Langley,Bitcoin: sip independence!,Flying Saucer
43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket
44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin
45,Wilfred Sterling,Bitcoin: golden key!,Palm
46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi
47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc
48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange
49,Alistair Ravensdale,Bitcoin: create your destiny!,Flying Saucer
50,Gideon Fairchild,Bitcoin: free from giants!,Rocket
51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin
52,Clarence Montrose,Bitcoin: silent revolution!,Palm
53,Phineas Thornfield,Bitcoin: no censorship!,Sushi
54,Rupert Ashford II,Bitcoin: future is magic!,Hibisc
55,Archibald Fairfax,Bitcoin: magic in tech!,Orange
56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer
57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket
58,Cornelius Montclair,Bitcoin: master your fate!,Coin
59,Leopold Sterling,Bitcoin: invisible magic!,Palm
60,Sylvester Beckett,Bitcoin: fair and fun!,Sushi
61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc
62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange
63,Barnabas Ravensdale,Bitcoin: hero of your story!,Flying Saucer
64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket
65,Humphrey Ellsworth,Bitcoin: fly with money!,Coin
66,Reginald Montrose,Bitcoin: future surprises!,Palm
67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi
68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc
69,Gideon Fairfax,Bitcoin: no illusions!,Orange
70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer
71,Clarence Westbrook,Bitcoin: invisible spell!,Rocket
72,Phineas Montclair,Bitcoin: fair magic!,Coin
73,Rupert Sterling,Bitcoin: creative explosion!,Palm
74,Archibald Beckett,Bitcoin: escape wizards!,Sushi
75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc
76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange
77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer
78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket
79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin
80,Ignatius Montrose,Bitcoin: free from giants!,Palm
81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi
82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc
83,Wilfred Fairfax,Bitcoin: no censorship!,Orange
84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer
85,Reginald Westbrook,Bitcoin: magic tech!,Rocket
86,Bartholomew Montclair,Bitcoin: beat the system!,Coin
87,Alistair Sterling,Bitcoin: no tricks!,Palm
88,Gideon Beckett,Bitcoin: master your fate!,Sushi
89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc
90,Clarence Kingsley,Bitcoin: fair and fun!,Orange
91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer
92,Rupert Fairchild,Bitcoin: wings of freedom!,Rocket
93,Archibald Ellsworth,Bitcoin: magic money!,Coin
94,Mortimer Montrose,Bitcoin: global show!,Palm
95,Thaddeus Thornfield,Bitcoin: every trade is an adventure!,Sushi
96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc
97,Leopold Fairfax,Bitcoin: tech is magic!,Orange
98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer
99,Ignatius Westbrook,Bitcoin: no illusions!,Rocket
100,Horatio Montclair,Bitcoin: master destiny!,Coin
101,Barnabas Sterling,Bitcoin: invisible spell!,Palm
102,Wilfred Beckett,Bitcoin: fair magic!,Sushi
103,Humphrey Pembroke,Bitcoin: creative explosion!,Hibisc
104,Reginald Kingsley,Bitcoin: escape wizards!,Orange
105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer
106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket
107,Gideon Ellsworth,Bitcoin: global bridge!,Coin
108,Maximilian Montrose,Bitcoin: innovation rules!,Palm
109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi
110,Phineas Ashford,Bitcoin: free from giants!,Hibisc
111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange
